"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
"----",,"Bb2 1",,,,,,,,,"snare","hat ",
,,"D3 1",,,,,"snare_roll 3",,,,,,
"----","G4 2","G3 1",,,,,,,,,"snare ","hat ",
,,"D3 1",,,,,,,,,,,
"####","Bb4 3","G3 1",,,,,,,,,"snare",,"kick"
,,"D3 1",,,,,,,,,"snare",,
"----",,"Bb3 1",,,,,,,,,"snare","hat ",
,"A4 1","D3 1",,,,,,,,,,,
"----","G4 2","Eb3 1",,,,,,,,,"snare","hat ",
,,"D3 1",,,,,"snare_roll 2",,,,,,
"Bb","F4 3","Bb2 1",,"Bb2 10",,,,,,,"snare",,"kick"
,,"C3 1",,,,,,,,,,,
"----",,"D3 1",,,,,,,,,,"hat ",
,"G4 1","Eb3 1",,,,,"snare_roll 3",,,,,,
"----","F4 2","F3 1",,,,,,,,,"snare","hat ",
,,"G3 1",,,,,,"snare_roll 3",,,,,
"####","D4 6","F3 1",,,,,,,,,,"snare","kick"
,,,,,,,,,,,,,
"----",,"F3 1",,,,,,,,,"snare","hat ",
,,,,,,,,,,,,,
"----",,"F3 1",,,,,,,,,,"snare",
,,,,,,,,,,,,,
"Eb","G4 4","D3 1",,"Eb3 10",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,"Bb2 1",,,,,"snare_roll 3",,,,,"hat ",
,,"G3 1",,,,,,,,,"snare",,
"----","G4 2","Bb2 1",,,,,"snare_roll 3",,,,,"hat ",
,,,,,,,,,,,"snare",,
"####","Bb4 3","D5 3",,,,,,,,,"snare",,"kick"
,,,,,,,,,,,"snare",,
"----",,,,,,,"snare_roll 3",,,,,"hat ",
,"A4 1","C5 1",,,,,"snare_roll 3",,,,,,
"----","G4 2","Bb4 2",,,,,"snare_roll 3",,,,,"hat ",
,,,,,,,"snare_roll 3",,,,,,
"Bb","F4 3","A3 6",,"Bb2 5",,,,,,,"snare",,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,"snare","hat ",
,"G4 1",,,,,,,,,,,"snare",
"----","F4 2",,,,,,,,,,"snare","hat ",
,,,,,,,,,,,,,
"####","D4 6","F4 3",,"C3 2",,,,,,,,"snare","kick"
,,,,,,,,,,,,,
"----",,,,"D3 2",,,,,,,"tom1","hat ",
,,"Eb4 1",,,,,,,,,"tom1",,
"----",,"D3 2",,"Eb3 2",,,,,,,,"tom2;hat",
,,,,,,," drum_level 5",,,,,"tom2",
"F7","C5 4","F4 2",,"F3 10",,,,,,,"tom3",,"kick"
,,,,,,,,,,,,,
"----",,"Eb4 2",,,,,,,,,,"hat;tom2",
,,,,,,,,,,,"tom3",,
"----","C5 2","D4 2",,,,,,,,,,"hat;tom2",
,,,,,,,,,,,,,
"####","Eb5 3","Eb4 2",,,,,,,,,"tom3","tom1","kick"
,,,,,,,"snare_roll 3",,,,,"tom1",
"----",,"D4 2",,,,,,,,,"snare","hat;tom2",
,"C5 1",,,,,,"snare_roll 3",,,,"tom3",,
"----","A4 2","C4 2",,,,,,,,,"snare","hat;tom2",
,,,,,,,,,,,,,
"Bb","Bb4 6","Bb3 2",,"Bb2 10",,,,,,,"tom3",,"kick"
,,,,,,,,,,,"tom1",,
"----",,"F4 2",,,,,,,,,,"hat;tom2",
,,,,,,,,,,,"tom3",,
"----",,"Bb3 2",,,,,,,,,,"hat;tom2",
,,,,,,,,,,,,"tom1","kick"
"####","D5 6","Bb4 2",,,,,,,,,"tom3",,"kick"
,,,,,,,"snare_roll 3",,,,,,
"----",,"A4 2",,,,,,,,,"snare","hat ",
,,,,,,,"snare_roll 3",,,,,"tom1",
"----",,"G4 2",,,,,,,,,"snare","hat ",
,,,,,,,,,,,,,
"####","Bb4 2","F4 2",,"Bb2 5",,,,,,,"snare",,"kick"
,,,,,,,,,,,,,
"----","F4 2","Eb4 2",,,,,,,,,,"tom1",
,,,,,,,,,,,,"tom1",
"----","D4 2","D4 2",,,,,,,,,,"tom2",
,,,,,,,,,,,,"tom2",
"####","F4 3","C4 2",,"F2 5",,,,,,,"tom3",,"kick"
,,,,,,,,,,,,"tom1",
"----",,"Bb3 2",,,,,,,,,"tom2","hat ",
,"Eb4 1",,,,,,,,,,"tom3",,
"----","C4 2","A3 2",,,,,,,,,"tom2","hat ",
,,,,,,,,,,,,"tom1",
"####","Bb3 6","F3 6",,"Bb2 6",,,,"snare_roll 4","drum_level 10",,,,"kick"
,,,,,,,,"snare_roll 4",,,,,
"----",,,,,,,,"snare_roll 4","drum_level 15",,,,"kick"
,,,,,,,,"snare_roll 4",,,,,
"----",,,,,,,,"snare_roll 4","drum_level 20",,,,"kick"
,,,,,,,,"snare_roll 4",,,,,
,,,,,,,,,"drum_level 30",,"snare","snare","kick"
